,Word,Levenshtein,Soundex,Metaphone
920,farage,forage,forage,forage
921,uce,duce,uke,use
922,wkwkw,NA,NA,NA
923,songong,singsong,singsong,NA
924,kemaren,NA,NA,NA
925,bkn,ban,NA,NA
926,jones,ones,NA,NA
927,tp,tap,tap,tap
928,mulia,mule,mule,mule
929,abt,abet,abet,abet
930,coz,cob,cog,NA
931,cnt,cant,cant,cant
932,pitbul,pitbull,pitbull,pitbull
933,eti,etui,etui,etui
934,tumbuka,NA,NA,NA
935,naku,naked,nag,nag
936,zyewa,zeta,NA,NA
937,brixham,NA,NA,NA
938,rfc,roc,refs,NA
939,demi,deli,demo,demo
940,lovato,lotto,NA,NA
941,paul,paul,paul,paul
942,ogrady,grade,NA,NA
943,th,the,the,the
944,casilas,casings,NA,NA
945,wid,wide,wide,wide
946,goal,goal,goal,goal
947,ute,cute,NA,NA
948,amrinder,grinder,NA,NA
949,singh,sigh,sing,NA
950,priyanka,srilanka,NA,NA
951,shldnt,shunt,NA,NA
952,rahuls,rails,rails,NA
953,gusta,gust,gust,gust
954,fabulosa,fabulous,fabulous,fabulous
955,godmorning,midmorning,NA,NA
956,luiz,quiz,lug,NA
957,nials,denials,nils,nils
958,twitcon,twitch,NA,NA
959,seoul,seoul,seoul,seoul
960,loch,loch,loch,loch
961,weise,wise,wise,wise
962,ava,java,ave,ave
963,ibaka,baa,NA,NA
964,haterz,hater,haters,haters
965,ikno,no,NA,NA
966,um,bum,NA,NA
967,bal,baal,baal,baal
968,gentile,gentile,gentile,gentile
969,bieber,bier,beeper,NA
970,instagrams,NA,NA,NA
971,soundin,sounding,sounding,NA
972,oxy,boxy,ox,ox
973,uptownkye,NA,NA,NA
974,shiz,shin,shies,shies
975,ibalik,bali,NA,NA
976,axel,axe,NA,NA
977,pb,pub,pa,pub
978,aeg,aegis,as,eg
979,bew,blew,be,be
980,multifunction,multifunction,multifunction,multifunction
981,kpop,pop,NA,NA
982,fangirl,NA,NA,NA
983,opa,opal,ova,NA
984,yan,yank,yawn,yawn
985,gomes,gnomes,games,games
986,jason,mason,NA,NA
987,giambi,gambia,gambia,NA
988,junon,juno,NA,NA
989,suga,sugar,saga,saga
990,bae,babe,be,be
991,andreina,NA,NA,NA
992,eliezer,believer,NA,NA
993,waqa,wanna,wag,wag
994,fiji,fiji,fiji,fiji
995,fij,fiji,fiji,fiji
996,png,pang,pang,nag
997,dungey,dungeon,dung,dingy
998,dosent,dissent,dissent,dissent
999,dnt,dent,dent,dent
1000,fux,flux,fax,fax
1001,ktr,dr,NA,NA
1002,everythings,everything,everything,NA
1003,ugh,bough,us,NA
1004,mf,me,NA,NA
1005,smd,sad,NA,NA
1006,newcastle,NA,NA,NA
1007,ai,aid,ah,ah
1008,deixa,deify,NA,NA
1009,garota,garotte,garotte,garotte
1010,vai,vain,NA,NA
1011,kah,ah,NA,NA
1012,marty,martyr,mart,mart
1013,ny,nay,nay,nay
1014,funhouse,inhouse,NA,NA
1015,benitez,NA,NA,NA
1016,dez,deb,daze,daze
1017,jazys,jays,NA,NA
1018,bday,bay,baddy,baddy
1019,selenas,selects,NA,NA
1020,tk,to,NA,NA
1021,zuma,puma,NA,NA
1022,prev,pre,prep,NA
1023,fu,fug,fee,fee
1024,jk,jack,jaw,jack
1025,alot,allot,allot,allot
1026,str,star,star,star
1027,runin,ruin,reunion,reunion
1028,twep,twee,tap,NA
1029,kai,kale,kiwi,key
1030,srlsy,sissy,NA,NA
1031,nflpa,flea,NA,NA
1032,bos,boos,boos,boos
1033,godel,model,godly,godly
1034,aw,awe,awe,ah
1035,seryoso,NA,NA,NA
1036,ikaw,inlaw,NA,NA
1037,ahaha,aha,aha,NA
1038,arabic,arabic,arabic,arabic
1039,lsu,lieu,lag,las
1040,fck,flack,fag,fag
1041,gortat,goat,NA,NA
1042,ariza,aria,NA,NA
1043,ma,mac,maw,maw
1044,lidel,libel,NA,NA
1045,irish,irish,irish,irish
1046,lifeleadershipand,NA,NA,NA
1047,iowa,iota,NA,NA
1048,wah,wash,way,way
1049,oakenfold,NA,NA,NA
1050,jes,jest,jews,jews
1051,kardashians,NA,NA,NA
1052,cate,caste,cat,cat
1053,blanchet,blanched,blanched,blanched
1054,heda,hedge,head,head
1055,gabler,gambler,NA,NA
1056,jank,jack,junk,junk
1057,dispicable,despicable,despicable,despicable
1058,leroy,levy,lorry,lorry
1059,jus,jugs,jugs,NA
1060,youd,you'd,you'd,you'd
1061,zac,zag,zag,zag
1062,efron,eon,NA,NA
1063,bt,bat,bat,bat
1064,yh,ye,ye,NA
1065,bukom,buxom,buxom,NA
1066,ard,arid,arid,arid
1067,pict,depict,pact,pact
1068,sctv,scab,NA,NA
1069,pondok,pond,ponds,NA
1070,cabe,cable,cab,cab
1071,clary,clay,calory,calory
1072,stahp,stamp,stab,NA
1073,geordie,george,NA,NA
1074,magaluf,NA,NA,NA
1075,eptv,epic,NA,NA
1076,ariar,aria,airier,airier
1077,esa,esau,esau,esau
1078,lombra,umbra,NA,NA
1079,donizildo,NA,NA,NA
1080,persie,persia,persia,parse
1081,gals,gals,gals,gals
1082,traford,NA,NA,NA
1083,ayato,alto,auto,NA
1084,yui,yeti,ye,ye
1085,woh,oh,woe,woe
1086,maine,maine,maine,maine
1087,kha,khan,NA,NA
1088,liya,libya,lea,NA
1089,rwby,ruby,ruby,ruby
1090,cosplays,displays,NA,NA
1091,wot,wont,wet,wet
1092,pepe,pep,pep,pep
1093,chavy,chary,chap,chafe
1094,weird,weird,weird,weird
1095,nigerian,nigeria,NA,NA
1096,xabi,gobi,NA,NA
1097,alonso,also,along,NA
1098,ig,big,is,NA
1099,lmao,loo,limo,limo
1100,walkietalkie,walkietalkie,walkietalkie,walkietalkie
1101,alwayz,always,always,always
1102,krilin,kremlin,NA,NA
1103,yiu,yip,you,you
1104,hahaha,haha,haha,NA
1105,lucu,luck,luck,luck
1106,kak,kayak,kayak,kick
1107,minhos,minds,mines,NA
1108,tyler,tiler,tiler,tiler
1109,ashton,ashen,NA,NA
1110,please,please,please,please
1111,gez,gel,NA,NA
1112,livestream,NA,NA,NA
1113,nary,unary,NA,NA
1114,niam,siam,nine,name
1115,ptdr,dr,pater,NA
1116,jasume,assume,NA,NA
1117,malades,maladies,maladies,maladies
1118,spins,spins,spins,spins
1119,colab,cola,club,club
1120,packpack,backpack,NA,NA
1121,gove,glove,gave,gave
1122,dolores,deplores,dolorous,dolorous
1123,umbridge,bridge,umbrage,umbrage
1124,conseal,conceal,conceal,conceal
1125,mbc,mac,NA,NA
1126,futsal,fugal,NA,NA
1127,fruitxfruit,NA,NA,NA
1128,grabe,grab,grab,grab
1129,sana,sauna,sauna,sauna
1130,bigyan,bigben,began,NA
1131,ako,ado,ago,ago
1132,shine,shine,shine,shine
1133,grae,grace,gore,gore
1134,gyo,gyro,go,NA
1135,mari,maori,maori,maori
1136,southamerica,NA,NA,NA
1137,te,tee,tee,tee
1138,amo,ammo,ammo,ammo
1139,suhin,shin,shin,NA
1140,rostered,fostered,NA,NA
1141,cockadodledo,NA,NA,NA
1142,increible,incredible,incredible,NA
1143,acabo,cacao,NA,NA
1144,espiar,espied,NA,NA
1145,amiga,amigo,amigo,amigo
1146,por,poor,poor,poor
1147,aqui,aqua,aqua,aqua
1148,funciona,functional,NA,NA
1149,rumour,rumour,rumour,rumour
1150,bruno,brunt,brunei,brunei
1151,indi,india,india,india
1152,hardwel,handel,NA,NA
1153,fragma,magma,frogman,NA
1154,vinz,vine,vims,vans
1155,tymrk,turk,NA,NA
1156,lc,talc,lag,lag
1157,dieselization,NA,NA,NA
1158,tradeshow,NA,NA,NA
1159,slay,slay,slay,slay
1160,baloteli,NA,NA,NA
1161,jawns,jaws,NA,NA
1162,paz,pa,NA,NA
1163,ngl,nil,NA,NA
1164,alr,air,NA,NA
1165,chode,cathode,code,chide
1166,preorder,reorder,NA,NA
1167,reys,greys,rays,rays
1168,ultraviolence,NA,NA,NA
1169,realtlk,realty,NA,NA
1170,hea,head,ha,ha
1171,sitin,siting,satin,satin
1172,igy,icy,icy,NA
1173,arse,arise,arise,arise
1174,omf,of,NA,NA
1175,ashlyn,ashen,NA,NA
1176,broke,broke,broke,broke
1177,fuq,fug,fug,fug
1178,apt,apt,apt,apt
1179,libre,calibre,NA,NA
1180,libertad,liberty,liberty,liberated
1181,vuelta,delta,NA,NA
1182,atras,atlas,NA,NA
1183,srsly,sly,NA,NA
1184,ohmygod,NA,NA,NA
1185,isg,is,is,NA
1186,gma,gamma,gamma,gamma
1187,gagos,gags,NA,gags
1188,wes,webs,woes,woes
1189,athletico,athletic,athletic,athletic
1190,titus,tits,tits,tits
1191,daysin,days,NA,NA
1192,kam,am,NA,cam
1193,bhi,hi,be,NA
1194,lago,lagos,lag,lag
1195,majdor,major,NA,NA
1196,gorgeous,gorgeous,gorgeous,gorgeous
1197,neco,neck,neck,neck
1198,fany,fanny,fanny,fanny
1199,jeti,jet,jet,jet
1200,seohyuns,NA,NA,NA
1201,lol,loll,loll,loll
1202,wadup,warmup,NA,NA
1203,yal,yale,yale,yale
1204,wht,what,what,what
1205,repin,repine,repine,repine
1206,kzn,ken,ken,NA
1207,cakep,cake,NA,NA
1208,loko,loo,loco,loco
1209,sunsplash,NA,NA,NA
1210,nak,nab,nag,nag
1211,nangis,nazis,NA,NA
1212,tengok,tenon,NA,NA
1213,kawan,kaftan,khan,NA
1214,finsbury,NA,NA,NA
1215,tangina,angina,NA,NA
1216,ninoy,ninny,ninny,ninny
1217,aquino,amino,NA,NA
1218,mnl,mail,mail,manly
1219,jigas,jigs,NA,jigs
1220,bosie,bowie,bookie,boss
1221,youve,you've,you've,you've
1222,wagner,wager,NA,NA
1223,olha,ha,ole,NA
1224,caraio,carat,curio,curio
1225,fb,fab,NA,fab
1226,bautista,baptist,NA,NA
1227,durat,drat,drat,drat
1228,geked,eked,NA,NA
1229,alen,alien,alien,alien
1230,fanbase,abase,NA,NA
1231,instagram,NA,NA,NA
1232,sarah,sari,sari,sari
1233,muhtab,NA,NA,NA
1234,nw,new,new,new
1235,fn,fan,fan,fan
1236,shab,scab,scab,NA
1237,mehraj,NA,NA,NA
1238,ibadat,NA,NA,NA
1239,becky,beck,beck,beck
1240,laura,aura,NA,NA
1241,lovley,looney,lovely,lovely
1242,x,ox,NA,NA
1243,rumah,rum,rum,rum
1244,nyaman,norman,NA,NA
1245,midcentury,NA,NA,NA
1246,stfu,sty,stab,staff
1247,ciye,cine,NA,NA
1248,ciye,cine,NA,NA
1249,aniv,anil,NA,NA
1250,ditomore,NA,NA,NA
1251,god,god,god,god
1252,laro,largo,lair,lair
1253,daw,dawn,day,day
1254,tayo,taboo,to,NA
1255,feck,fleck,NA,NA
1256,fanfic,fanatic,NA,NA
1257,von,on,van,van
1258,trap,trap,trap,trap
1259,dfp,dip,dip,NA
1260,ecb,ebb,NA,NA
1261,yorkshire,NA,NA,NA
1262,doncaster,NA,NA,NA
1263,dif,if,dip,deaf
1264,lololol,NA,NA,NA
1265,wbu,zebu,web,NA
1266,romate,roommate,roommate,roommate
1267,whipin,whip,NA,NA
1268,bruh,brush,bra,bra
1269,malik,malice,malice,milk
1270,edward,ward,NA,NA
1271,mau,maul,mu,mu
1272,folback,fullback,fullback,fullback
1273,woah,woad,NA,NA
1274,krispy,crispy,NA,crispy
1275,kreme,creme,NA,creme
1276,mep,me,map,map
1277,wew,we,we,we
1278,hol,hold,hole,hole
1279,napa,nap,nap,nap
1280,lacura,lacuna,NA,NA
1281,friday,friday,friday,friday
1282,lokin,loin,liken,liken
1283,macklemore,NA,NA,NA
1284,thriftshop,NA,NA,NA
1285,vauxhal,NA,NA,NA
1286,vectra,spectra,vector,vector
1287,signum,sign,NA,NA
1288,nextday,NA,NA,NA
1289,almarhum,NA,NA,NA
1290,azlan,clan,aslant,NA
1291,taylor,taylor,taylor,taylor
1292,lautner,laugher,NA,NA
1293,alfatihah,alfatah,alfatah,NA
1294,dapat,pat,daft,depot
1295,gif,gift,gaff,NA
1296,somethingsomeone,NA,NA,NA
1297,fwit,fit,fit,NA
1298,miami,miami,miami,miami
1299,adres,adores,adores,adores
1300,chafey,chafe,chafe,chafe
1301,pumba,puma,NA,NA
1302,africa,africa,africa,africa
1303,hakuna,hakea,NA,NA
1304,matata,malta,mutate,mutate
1305,hayley,alley,hale,hale
1306,levi,levi,levi,levi
1307,probs,probes,probes,probes
1308,forney,fogey,ferny,ferny
1309,lekan,lean,NA,NA
1310,busing,bussing,bussing,bussing
1311,xox,ox,NA,NA
1312,unfolow,unfold,unfold,NA
1313,xf,if,NA,NA
1314,christina,christian,christian,christen
1315,peri,peri,peri,peri
1316,bef,beef,beef,beef
1317,bef,beef,beef,beef
1318,whatchu,watch,watch,watch
1319,btcs,blocs,bats,NA
1320,das,dabs,dais,dais
1321,geocachingeo,NA,NA,NA
1322,tysm,team,NA,NA
1323,hsgdfhjfg,NA,NA,NA
1324,dieing,dieting,dyeing,NA
1325,shri,sari,sari,NA
1326,gopinath,goliath,NA,NA
1327,munde,mundane,mound,mound
1328,sekalian,sealion,NA,NA
1329,siapa,spa,spa,NA
1330,kita,kit,kit,kit
1331,jodoh,doh,judo,NA
1332,wks,woks,woks,gas
1333,yau,yak,yaw,yaw
1334,tei,tea,tea,tea
1335,imesage,image,NA,NA
1336,bm,bum,bum,bum
1337,dayum,datum,dam,NA
1338,thang,tang,tang,thank
1339,bish,banish,bash,bash
1340,lmao,loo,limo,limo
1341,ang,bang,NA,NA
1342,sakit,saki,NA,skit
1343,dibdib,NA,NA,NA
1344,pagkikita,NA,NA,NA
1345,ni,nib,ne,ne
1346,isabele,abele,NA,NA
1347,samuel,sequel,NA,NA
1348,una,luna,NA,NA
1349,amistad,misted,NA,NA
1350,debe,deb,deb,deb
1351,ser,seer,seer,seer
1352,muy,mu,mu,mu
1353,aburida,NA,NA,NA
1354,kidn,kid,NA,NA
1355,nana,ana,NA,NA
1356,smokin,smoking,smoking,NA
1357,longway,gangway,NA,NA
1358,bam,balm,beam,beam
1359,shyt,shy,shot,shot
1360,leaveayoutubecoment,NA,NA,NA
1361,obl,oil,NA,NA
1362,afia,mafia,NA,NA
1363,jalah,blah,NA,NA
1364,porscha,porch,porch,NA
1365,photoboth,NA,NA,NA
1366,sukhwinder,NA,NA,NA
1367,chaiya,chain,NA,NA
1368,dom,doom,doom,doom
1369,botak,botany,botch,batik
1370,avici,avid,NA,NA
1371,nicky,finicky,nick,nick
1372,romero,rome,roamer,roamer
1373,audrio,audio,NA,NA
1374,tlw,tow,tale,tale
1375,tulow,tallow,tallow,tallow
1376,plc,ply,plug,plug
1377,norway,norway,norway,norway
1378,lau,laud,law,law
1379,heh,he,he,he
1380,sj,so,so,NA
1381,fets,feats,feats,feats
1382,hahahahahahahahah,NA,NA,NA
1383,yeon,yen,yen,yen
1384,he,he,he,he
1385,jesica,erica,NA,NA
1386,nicki,nick,nick,nick
1387,minaj,mind,mink,NA
1388,sep,seep,seep,seep
1389,txt,text,text,text
1390,dnt,dent,dent,dent
1391,thts,thefts,this,NA
1392,meself,myself,myself,myself
1393,dem,deem,deem,deem
1394,nyam,yam,name,NA
1395,horan,horn,horn,horn
1396,croke,coke,NA,NA
1397,hgdsfs,NA,NA,NA
1398,kathryn,NA,NA,NA
1399,bernardo,leonardo,NA,NA
1400,janela,jangle,NA,NA
1401,salvador,salvager,NA,NA
1402,liza,lima,lice,lice
1403,soberano,soprano,soprano,NA
1404,julia,july,july,july
1405,bareto,bare,bared,bared
1406,isra,israel,NA,NA
1407,miraj,mirage,mirage,mirage
1408,rajab,rajah,NA,NA
1409,moslem,modem,muslim,muslim
1410,sunday,sunday,sunday,sunday
1411,kris,iris,NA,NA
1412,modboster,mobster,NA,NA
1413,hais,hails,has,has
1414,loca,local,loch,lock
1415,nowplaying,NA,NA,NA
1416,mat,mat,mat,mat
1417,redman,reran,NA,NA
1418,dave,ave,dive,dive
1419,gigi,gig,gig,NA
1420,hadid,had,hated,hated
1421,pipen,pen,NA,NA
1422,winky,wink,wink,wink
1423,sultanahmet,NA,NA,NA
1424,cami,cam,cam,cam
1425,chelsea,cheese,NA,NA
1426,e,eg,eh,eh
1427,megan,mean,NA,NA
1428,baton,baton,baton,baton
1429,hela,held,hell,hell
1430,neighbour,neighbour,neighbour,neighbour
1431,poper,popper,popper,popper
1432,scoper,scooper,scooper,scooper
1433,shakin,shaking,shaken,shaken
1434,bakin,baking,basin,NA
1435,gifs,gifts,gibes,NA
1436,whytsb,whys,NA,NA
1437,sox,so,sex,sex
1438,jery,jerky,jury,jury
1439,remy,rem,rem,rem
1440,stdegre,NA,NA,NA
1441,movin,moving,NA,NA
1442,hahahahaha,NA,NA,NA
1443,cnj,cab,cans,NA
1444,od,odd,odd,odd
1445,ctying,tying,ceding,NA
1446,domtvyal,NA,NA,NA
1447,nino,elnino,nine,nine
1448,naem,em,name,name
1449,unfolowing,unfolding,unfolding,NA
1450,fancam,fancy,NA,NA
1451,kyungso,NA,NA,NA
1452,dyo,do,do,dye
1453,slikaj,NA,NA,NA
1454,se,see,see,see
1455,cigaretom,cigaret,cigaret,NA
1456,ustima,optima,NA,NA
1457,stavi,stave,stave,stave
1458,opis,opts,opus,opus
1459,ty,thy,thy,toy
1460,dwnld,weld,NA,NA
1461,prescon,presto,prison,NA
1462,rahul,rail,rail,NA
1463,dravid,david,NA,NA
1464,bidge,bridge,badge,badge
1465,cambiame,NA,NA,NA
1466,el,eel,eel,ell
1467,dia,dial,die,die
1468,nam,name,name,name
1469,gong,gong,gong,gong
1470,jin,jinx,join,join
1471,wa,wad,way,way
1472,craycray,NA,NA,NA
1473,ayebody,anybody,NA,NA
1474,shawty,shanty,shady,shady
1475,naiyak,naiad,NA,NA
1476,kay,okay,key,key
1477,knw,knew,knew,knew
1478,hawt,hat,hat,hat
1479,joe,joey,joey,joey
1480,yurself,yourself,yourself,yourself
1481,fx,fax,fax,fax
1482,sudirman,superman,NA,NA
1483,rel,reel,reel,reel
1484,ruga,rug,rug,rug
1485,gunplay,outplay,NA,NA
1486,me,me,me,me
1487,please,please,please,please
1488,day,day,day,day
1489,sportseoul,NA,NA,NA
1490,hyojin,NA,NA,NA
1491,wok,wok,wok,wok
1492,larisa,larva,larks,NA
1493,lyn,lynx,lyon,lain
1494,boylan,bowman,NA,NA
1495,popin,pin,pippin,pippin
1496,perfeito,perfect,NA,NA
1497,imbecis,imbeciles,imbeciles,NA
1498,songz,song,song,songs
1499,sumerbe,submerge,NA,NA
1500,honeythief,NA,NA,NA
1501,senja,senora,sense,NA
1502,mblo,moo,NA,NA
1503,khris,iris,NA,NA
1504,davis,dais,dabs,NA
1505,wrc,wry,NA,NA
1506,nori,nor,nor,nor
1507,mansbridge,NA,NA,NA
1508,knowlton,NA,NA,NA
1509,nash,gnash,NA,gnash
1510,akalem,salem,NA,NA
1511,temel,teal,tamely,tamely
1512,msh,mash,mash,mash
1513,yza,yea,yak,sea
1514,terod,trod,trod,trod
1515,alaya,ala,ala,NA
1516,ol,oil,oil,oil
1517,thots,tots,tots,NA
1518,starbucks,NA,NA,NA
1519,insomina,insomnia,insomnia,insomnia
1520,imo,limo,im,im
1521,mr,mr,mr,mr
1522,molson,moon,NA,NA
1523,habs,has,hobs,hobs
1524,coky,cocky,cocky,cocky
1525,nutela,tugela,NA,NA
1526,minecraft,mineshaft,NA,NA
1527,herobrine,heroine,NA,NA
1528,sami,sam,sam,sam
1529,zayne,zone,zone,zone
1530,nxt,next,next,next
1531,ana,ana,ana,ana
1532,pasey,pacey,pacey,pacey
1533,nadine,nine,NA,NA
1534,merabi,serai,NA,NA
1535,camaro,cairo,camera,camera
1536,garfield,airfield,NA,NA
1537,minmin,minion,minion,NA
1538,ph,pa,pa,NA
1539,gycj,gym,NA,NA
1540,shuit,shut,shut,shut
1541,hsit,hit,heist,heist
1542,shitihsthiaht,NA,NA,NA
1543,shitb,shin,NA,NA
1544,landan,landman,landman,NA
1545,defo,deco,defy,defy
1546,shortz,short,shorts,shorts
1547,sb,sob,sob,sob
1548,hit,hit,hit,hit
1549,cabela,cabal,cabal,cabal
1550,neatoc,neat,NA,NA
1551,asa,asia,asia,as
1552,to,to,to,to
1553,tune,tune,tune,tune
1554,kacang,vacant,NA,NA
1555,jutek,jute,NA,NA
1556,jfb,jab,jab,NA
1557,tenshi,tens,tens,tench
1558,asista,asia,assist,assist
1559,lastnight,NA,NA,NA
1560,aye,aye,aye,aye
1561,sof,sofa,sofa,sofa
1562,wrng,wring,wring,wring
1563,kfc,keg,NA,NA
1564,sajc,sac,sac,NA
1565,ashats,hats,assets,NA
1566,haja,ha,hag,NA
1567,wudu,kudu,NA,NA
1568,jen,jet,NA,gen
1569,forwod,forward,ford,NA
1570,klaroweak,NA,NA,NA
1571,fangirled,NA,NA,NA
1572,wifi,wife,wife,wife
1573,dslr,dr,NA,NA
1574,mirorles,miracles,NA,NA
1575,you,you,you,you
1576,brazilian,brasilia,brasilia,NA
1577,sayin,saying,san,NA
1578,chocka,chock,chock,chock
1579,watcha,watch,watch,watch
1580,rightnow,NA,NA,NA
1581,jeremy,jemmy,NA,NA
1582,kyle,kale,kale,kale
1583,jake,jade,joke,joke
1584,gylenhal,NA,NA,NA
1585,donie,done,done,done
1586,darko,dark,dark,dark
1587,lorde,lode,lord,lord
1588,rly,rely,rely,rely
1589,laughinf,laughing,NA,NA
1590,english,english,english,english
1591,sesh,sash,sash,sash
1592,rtyginstagram,NA,NA,NA
1593,halina,halite,halon,halon
1594,favre,fare,NA,NA
1595,mariokart,NA,NA,NA
1596,chapstick,slapstick,chopsticks,NA
1597,feme,fee,fame,fame
1598,culd,could,could,could
1599,playin,playing,plain,NA
1600,loce,lace,lace,lace
1601,gona,gonna,gonna,gonna
1602,cronicon,NA,NA,NA
1603,hitlist,violist,NA,NA
1604,strom,strop,strum,strum
1605,jorok,jock,jerk,jerk
1606,upilin,uplink,uplink,NA
1607,wah,wash,way,way
1608,fiona,fauna,fauna,fauna
1609,avadn,avail,NA,NA
1610,spazing,spacing,spacing,spacing
1611,tepatin,gelatin,NA,NA
1612,jus,jugs,jugs,NA
1613,nah,noah,noah,noah
1614,sr,sir,sir,sir
1615,aku,akin,as,aga
1616,wristphone,NA,NA,NA
1617,ala,ala,ala,ala
1618,ribuan,ribbon,ribbon,ribbon
1619,aegyo,aegis,ago,NA
1620,paker,packer,packer,packer
1621,ka,ha,NA,NA
1622,wyd,wad,wad,NA
1623,salah,salad,NA,NA
1624,parila,paris,parole,parole
1625,mundo,undo,mound,mound
1626,throating,throwing,treating,threading
1627,snowden,snowmen,NA,NA
1628,rusia,russia,russia,russia
1629,hufington,NA,NA,NA
1630,jang,jag,NA,NA
1631,nigeria,nigeria,nigeria,nigeria
1632,luv,lug,lab,lava
1633,np,nap,nap,nap
1634,girlieo,girlie,girlie,girlie
1635,rmx,remix,remix,remix
1636,naija,nail,NA,NA
1637,econcern,concern,NA,NA
1638,jomla,jolt,NA,NA
1639,monogenesis,NA,NA,NA
1640,samiflabs,NA,NA,NA
1641,iym,im,im,im
1642,hahahahahahaha,NA,NA,NA
1643,dmvan,divan,NA,NA
1644,hiero,hero,hero,hero
1645,akxndknd,NA,NA,NA
1646,ambien,ambient,ambient,NA
1647,haile,hailed,hail,hail
1648,god,god,god,god
1649,ganda,uganda,gandhi,canada
1650,devon,demon,debone,NA
1651,seron,sermon,NA,NA
1652,catitude,latitude,NA,NA
1653,yas,yaks,yaks,yaws
1654,stacys,stays,NA,NA
1655,kenia,kenya,kenya,ken
1656,subtweting,NA,NA,NA
1657,kat,at,kit,kit
1658,york,york,york,york
1659,nyankes,yankees,nuances,NA
1660,kul,keel,keel,keel
1661,raptr,raptor,raptor,raptor
1662,dod,dodo,dodo,dodo
1663,vile,vile,vile,vile
1664,wowzers,wonders,NA,NA
1665,hackd,hacked,hacked,hacked
1666,wudup,fedup,NA,NA
1667,nonton,noon,NA,NA
1668,wkwk,wok,wok,gawk
1669,lu,lug,lieu,lieu
1670,hun,hung,hen,hen
1671,cie,cine,cue,NA
1672,kangen,hangmen,NA,NA
1673,gelo,gel,gel,gel
1674,alex,ale,ales,NA
1675,meps,maps,maps,maps
1676,london,london,london,london
1677,haradox,paradox,NA,NA
1678,gary,gay,gory,gory
1679,oldman,olden,olden,NA
1680,derito,deride,deride,deride
1681,snd,sand,sand,sand
1682,scump,scum,sump,scamp
1683,nadeshot,NA,NA,NA
1684,profy,proxy,prop,privy
1685,bigy,big,big,bogy
1686,stresin,resin,stressing,NA
1687,psh,posh,posh,posh
1688,bouta,bout,bout,bout
1689,ohmygad,NA,NA,NA
1690,minzy,minty,mink,mince
1691,hahahaha,NA,NA,NA
1692,joakim,oakum,NA,NA
1693,noah,noah,noah,noah
1694,fxck,flack,face,NA
1695,favorited,favourite,favourite,NA
1696,cloudcast,cloudiest,cloudiest,NA
1697,mixcloud,NA,NA,NA
1698,kik,kick,kick,kick
1699,wld,weld,weld,lad
1700,salmond,salmon,salmon,NA
1701,muaythai,NA,NA,NA
1702,standin,standing,standing,NA
1703,garie,garage,gore,curie
1704,jetski,jets,jets,NA
1705,taeyeon,thereon,NA,NA
1706,ost,oast,oast,oast
1707,seungi,fungi,sung,NA
1708,ara,arab,area,area
1709,writin,writing,writing,NA
1710,andhra,angora,anthrax,NA
1711,pradesh,parades,parades,prudish
1712,telangana,NA,NA,NA
1713,lindsay,NA,NA,NA
1714,youtuber,NA,NA,NA
1715,gfs,gas,gaps,NA
1716,infront,confront,NA,NA
1717,oh,oh,oh,oh
1718,buht,but,but,but
1719,chili,chili,chili,chili
1720,lewl,lewd,NA,NA
1721,intip,tip,NA,NA
1722,terbaru,ternary,NA,NA
1723,horor,horror,horror,horror
1724,kanibal,cannibal,NA,cannibal
1725,vitoria,victoria,NA,NA
1726,wcw,wow,wag,caw
1727,hahahahaha,NA,NA,NA
1728,baba,babas,babe,babe
1729,kejri,kerb,NA,NA
1730,apiled,piled,availed,applied
1731,hahah,haha,haha,haha
1732,to,to,to,to
1733,lakas,lakes,lakes,lakes
1734,maka,make,make,make
1735,this,this,this,this
1736,boy,boy,boy,boy
1737,dem,deem,deem,deem
1738,nigas,nights,NA,nicks
1739,manusia,mania,NA,NA
1740,ramah,rajah,NA,NA
1741,enuh,enough,ennui,enough
1742,suh,such,soh,soh
1743,mah,mash,maw,maw
1744,pre,pre,pre,pre
1745,etsy,easy,NA,NA
1746,whitby,whitely,NA,NA
1747,muray,murray,murray,murray
1748,matosevic,NA,NA,NA
1749,halep,hale,NA,NA
1750,uk,uke,uke,uke
1751,chai,chain,caw,NA
1752,hk,ha,NA,NA
1753,nvm,norm,NA,NA
1754,shid,shied,shied,shied
1755,fyck,flack,face,NA
1756,ut,but,NA,NA
1757,gtfo,go,NA,NA
1758,bru,bra,bra,bra
1759,favelas,navels,NA,NA
1760,favela,gavel,NA,NA
1761,iw,id,NA,NA
1762,mw,maw,maw,maw
1763,dormagen,NA,NA,NA
1764,canceled,cancelled,cancelled,cancelled
1765,brai,braid,bra,bra
1766,ade,aden,aide,aide
1767,gua,guava,guy,guy
1768,tak,tack,tack,tack
1769,kisah,kiss,kiss,kiss
1770,ehm,eh,em,em
1771,maksudnya,NA,NA,NA
1772,ktbfh,NA,NA,NA
1773,mondawg,monday,mondays,NA
1774,diablo,dial,NA,NA
1775,hahahahahaha,NA,NA,NA
1776,wae,wade,we,we
1777,uso,us,us,us
1778,slipin,slip,slipping,NA
1779,please,please,please,please
1780,ginebra,genera,NA,NA
1781,puso,pus,pus,pus
1782,shon,shone,shone,shone
1783,minho,mind,mine,NA
1784,dukhwa,NA,NA,NA
1785,baes,babes,bags,bass
1786,mv,me,map,NA
1787,kyung,king,king,keying
1788,hve,have,have,have
